,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
126,1461.8825727042586,10041.672250337317,6192.907,6194.8887,6420.098792277492,7753.476876470817,,,10.544348,5.905628,,256,115,ffc,2022-07-23 18:46:15,1558.588204595817,455.0
127,3300.0775439429185,11865.677695839422,6198.2603,6194.8887,6917.9256194665995,8785.865357401422,,,22.530342,5.905628,,302,115,ffc,2022-07-23 18:46:02,2590.9766855264224,555.0
128,1025.2613025175451,9605.138860392079,6185.5347,6194.8887,6325.5926120773365,7497.681316881372,,,5.455657,5.905628,,380,115,ffc,2022-07-23 18:46:18,1302.7926450063724,425.94214725494385
129,2744.66480819573,11319.146021399183,6205.804,6194.8887,6673.62962985895,8135.1398676044,,,20.303911,5.905628,,240,115,ffc,2022-07-23 18:46:06,1940.2511957294,479.0
130,439.4975946129357,9019.396365637398,6181.6104,6194.8887,6248.261246054662,7549.393318600809,,,2.4817147,5.905628,,566,115,ffc,2022-07-23 18:46:22,1354.504646725809,449.0
131,2884.5306859769435,11457.387857039093,6204.8325,6194.8887,6772.414803661149,8459.287615031542,,,20.422085,5.905628,,181,115,ffc,2022-07-23 18:46:05,2264.3989431565424,521.0
132,732.5423215765389,9312.434052794333,6182.906,6194.8887,6288.028115455314,7519.260419050239,,,1.2814322,5.905628,,221,115,ffc,2022-07-23 18:46:20,1324.3717471752389,436.0
133,2463.5685652504,11040.55404439291,6204.623,6194.8887,6641.513862268407,8162.573828715894,,,19.993301,5.905628,,247,115,ffc,2022-07-23 18:46:08,1967.6851568408938,490.0
134,2322.534895497611,10900.382181683011,6204.3184,6194.8887,6269.808657490272,6511.670112905989,,,19.94839,5.905628,,647,115,ffc,2022-07-23 18:46:09,316.7814410309893,252.0
135,3023.450439207934,11594.30842524804,6202.699,6194.8887,6297.421567697674,6565.94593780374,,,20.923983,5.905628,,664,115,ffc,2022-07-23 18:46:04,371.05726592874,257.0
136,1316.9292366131851,9896.762535217607,6189.669,6194.8887,6400.930476702994,7777.327879927868,,,8.632659,5.905628,,581,115,ffc,2022-07-23 18:46:16,1582.4392080528678,463.0
